stats_file,ipc_rate,mode,config,al,lq,iq,mdp,pbp,pdc,ptc
stats.26-01-31.21_52_09.log,7.95,perfALL,config1,128,64,32,oracle,1,1,1
stats.26-01-31.21_52_33.log,11.72,perfALL,config2,256,128,64,oracle,1,1,1
stats.26-01-31.21_52_58.log,11.72,perfALL,config3,512,256,128,oracle,1,1,1
stats.26-01-31.21_53_22.log,11.72,perfALL,config4,1024,512,256,oracle,1,1,1
stats.26-01-31.21_53_48.log,11.72,perfALL,config5,2048,1024,512,oracle,1,1,1
stats.26-01-31.21_54_15.log,11.72,perfALL,config6,4096,2048,1024,oracle,1,1,1
stats.26-01-31.21_54_44.log,7.87,realD$,config1,128,64,32,oracle,1,0,1
stats.26-01-31.21_55_10.log,11.56,realD$,config2,256,128,64,oracle,1,0,1
stats.26-01-31.21_55_35.log,11.59,realD$,config3,512,256,128,oracle,1,0,1
stats.26-01-31.21_56_02.log,11.64,realD$,config4,1024,512,256,oracle,1,0,1
stats.26-01-31.21_56_29.log,11.7,realD$,config5,2048,1024,512,oracle,1,0,1
stats.26-01-31.21_56_58.log,11.71,realD$,config6,4096,2048,1024,oracle,1,0,1
stats.26-01-31.21_57_28.log,7.04,realBP,config1,128,64,32,oracle,0,1,1
stats.26-01-31.21_57_53.log,10.08,realBP,config2,256,128,64,oracle,0,1,1
stats.26-01-31.21_58_18.log,10.08,realBP,config3,512,256,128,oracle,0,1,1
stats.26-01-31.21_58_43.log,10.08,realBP,config4,1024,512,256,oracle,0,1,1
stats.26-01-31.21_59_09.log,10.08,realBP,config5,2048,1024,512,oracle,0,1,1
stats.26-01-31.21_59_38.log,10.08,realBP,config6,4096,2048,1024,oracle,0,1,1
stats.26-01-31.22_00_10.log,5.19,noT$,config1,128,64,32,oracle,1,1,0
stats.26-01-31.22_00_35.log,5.19,noT$,config2,256,128,64,oracle,1,1,0
stats.26-01-31.22_01_01.log,5.19,noT$,config3,512,256,128,oracle,1,1,0
stats.26-01-31.22_01_27.log,5.19,noT$,config4,1024,512,256,oracle,1,1,0
stats.26-01-31.22_01_54.log,5.19,noT$,config5,2048,1024,512,oracle,1,1,0
stats.26-01-31.22_02_21.log,5.19,noT$,config6,4096,2048,1024,oracle,1,1,0
stats.26-01-31.22_02_51.log,4.57,unknown,config1,128,64,32,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_03_15.log,5.42,unknown,config2,256,128,64,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_03_40.log,5.43,unknown,config3,512,256,128,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_04_05.log,5.43,unknown,config4,1024,512,256,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_04_34.log,5.43,unknown,config5,2048,1024,512,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_05_07.log,5.43,unknown,config6,4096,2048,1024,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.22_05_43.log,6.67,unknown,config1,128,64,32,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_06_06.log,9.07,unknown,config2,256,128,64,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_06_30.log,9.07,unknown,config3,512,256,128,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_06_54.log,9.07,unknown,config4,1024,512,256,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_07_19.log,9.07,unknown,config5,2048,1024,512,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_07_45.log,9.07,unknown,config6,4096,2048,1024,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.22_08_13.log,7.94,realMDP-SS,config1,128,64,32,Store Sets,1,1,1
stats.26-01-31.22_08_36.log,11.72,realMDP-SS,config2,256,128,64,Store Sets,1,1,1
stats.26-01-31.22_08_59.log,11.72,realMDP-SS,config3,512,256,128,Store Sets,1,1,1
stats.26-01-31.22_09_22.log,11.72,realMDP-SS,config4,1024,512,256,Store Sets,1,1,1
stats.26-01-31.22_09_46.log,11.72,realMDP-SS,config5,2048,1024,512,Store Sets,1,1,1
stats.26-01-31.22_10_11.log,11.72,realMDP-SS,config6,4096,2048,1024,Store Sets,1,1,1
